21:19:44 25/03/2022                                                          Resp.: valter
                  Período: 25/03/2018 á 25/03/2022

| CÓDIGO |         DESCRIÇÃO          |    TIPO    |   ORIGEM   |  DESTINO   |  QTD   |    DATA    |
| 167184 | PAINEL TRASEIRO PADRÃO BOR |   Saída    |  Impresso  |  Externo   |   1    | 2020-09-14 |
| 152037 |        ESCALA 96 SF        |   Saída    |  Impresso  |  Externo   |   1    | 2020-09-14 |
| 167247 | PAINEL TRASEIRO BORNE FENI |   Saída    |  Impresso  |  Externo   |   1    | 2020-09-14 |
| 152071 | ESCALA 72 PC FM/BM INTERC. |   Saída    |  Impresso  |  Externo   |   3    | 2020-09-14 |
| 152072 | ESCALA 96 PC FM/BM INTERC. |   Saída    |  Impresso  |  Externo   |   4    | 2020-09-14 |
| 151118 | PAINEL FRONTAL TRANSD. DC/ |   Saída    |  Impresso  |  Externo   |   2    | 2020-09-14 |
| 151090 | PAINEL FRONTAL POT. ATIVA/ |   Saída    |  Impresso  |  Externo   |   1    | 2020-09-14 |
| 151119 | PAINEL FRONTAL TRANSDUT. C |   Saída    |  Impresso  |  Externo   |   1    | 2020-09-14 |
| 151210 | PAINEL FRONTAL TRANSDUTOR  | Transferên |  Imprimir  |  Impresso  |   10   | 2020-09-15 |
| 151118 | PAINEL FRONTAL TRANSD. DC/ | Transferên |  Imprimir  |  Impresso  |   20   | 2020-09-15 |
| 151210 | PAINEL FRONTAL TRANSDUTOR  |   Saída    |  Impresso  |  Externo   |   1    | 2020-09-15 |
| 152072 | ESCALA 96 PC FM/BM INTERC. |   Saída    |  Impresso  |  Externo   |   7    | 2020-09-15 |
| 152071 | ESCALA 72 PC FM/BM INTERC. |   Saída    |  Impresso  |  Externo   |   17   | 2020-09-15 |
| 151119 | PAINEL FRONTAL TRANSDUT. C |   Saída    |  Impresso  |  Externo   |   1    | 2020-09-15 |
| 167184 | PAINEL TRASEIRO PADRÃO BOR |   Saída    |  Impresso  |  Externo   |   4    | 2020-09-15 |
| 151118 | PAINEL FRONTAL TRANSD. DC/ |   Saída    |  Impresso  |  Externo   |   11   | 2020-09-15 |
| 152072 | ESCALA 96 PC FM/BM INTERC. |  Entrada   |  Externo   |  Impresso  |   47   | 2020-09-15 |
| 152071 | ESCALA 72 PC FM/BM INTERC. |  Entrada   |  Externo   |  Impresso  |   4    | 2020-09-15 |
| 152076 | ESCALA BRANCA HZ 72 PC INT |  Entrada   |  Externo   |  Impresso  |   1    | 2020-09-15 |
| 152072 | ESCALA 96 PC FM/BM INTERC. |  Entrada   |  Externo   | Retrabalho |   43   | 2020-09-15 |
| 152071 | ESCALA 72 PC FM/BM INTERC. |  Entrada   |  Externo   | Retrabalho |   66   | 2020-09-15 |
| 151168 | PAINEL TRANSD. TRIPLO CORR | Transferên |  Imprimir  |  Impresso  |   19   | 2020-09-16 |
